Name,Rating,Review Title,Review Date,Review Content
fanny aggs,1.0 out of 5 stars,Broken icons,Reviewed in the United Kingdom on 17 October 2020,"Just received 2 Amazon lite firesticks  to replace my ageing 1gen sticks there seems to be a problem an inbuilt virusin them there produce broken icons for side loaded apps on the start up page, I have been on utube and many  lite firestick have this problem only when Amazon puts an update out to resolve this problem i will be sending them back, Come on Amazon play fair with your loyal customers Reg"
Mr. C Bell,3.0 out of 5 stars,"Good streaming stick, but 3 stars because Amazon force increasing amounts of advertising onto you",Reviewed in the United Kingdom on 20 December 2020,"As a streaming stick works fine: easy to set up and use, good performance, good range of apps.However...Be warned that Amazon treat this as a compulsory advertising vehicle, with its user interface prioritising what they want to push onto you as opposed to what you want to receive.  Their latest update (20/12/2020) makes this even worse by allocating even more space and priority to this with, so far as I can see, no mechanism for removing banner ads and ""sponsored content"" (ie rubbish no sane person would ever want) short of hacking the operating system.Given that this is something which you pay for I find such behaviour unacceptable."
G. R. Wilkinson,3.0 out of 5 stars,"Rule 1 - Switch off at the wall, then back on again",Reviewed in the United Kingdom on 18 January 2021,"It is well worth remembering Rule 1 ... Because that's the one you will use the most .  There are not as many FREE to watch films / programmes as you would imagine. The concept of the Fire stick is amazing .. and if you speak without a regional accent in perfect queens English the voice remote will work great.  My first fire stick lasted around 5 or 6 months then stopped working, the online support is very good (I suppose it is so often used that it has to be) They soon discovered mine was faulty so offered me a FOC exchange which lasted a further 8 month (just beyond its warranty strange that isn't it) ... So I bought a new one so we were able to complete the watching of a series we had gotten in to ... So its new , it no longer controls the volume etc but its ok.  But enjoy it while it lasts because once you switch it off , the very next ,in fact practically every time you switch it on it will tell you it has lost Network connection and you will need to revert to Rule 1 ... Switch it off at the wall then back on again... The Firestick has been around long enough now to have ironed out its teething problems , but that would mean that you would not need to BUY a replacement from Amazon ... its a win win Product for Amazon and hours of frustration for the user . Would I ever buy another one ... yes of course I will in 13 months time just after my warranty expires ."
Mike P,5.0 out of 5 stars,Works off USB cable!,Reviewed in the United Kingdom on 2 December 2020,"I purchased this for use with my Viewsonic M1+ Projector. Set it up on the tv first (downloaded Netflix, iPlayer, Prime Video, etc) and signed in to various accounts - very easy to do, you can use a browser on your phone. Streams everything perfectly, inc Netflix. Comes with a standard plug and USB cable but my projector is portable, so tried plugging a short micro USB to USB cable into the USB 1 socket (5v, 1 amp output). Works perfectly - this firetv stick needs 5V, 900 milliampes. So now portable - will be able to watch Netflix outside on our 100” screen! Wondering if I can connect to G4 signal off the phone if away from wi-fi: if yes, will update this review.Only 1080p but that is sufficient for this projector. Very clear picture, no stutter on sound (in stereo) and, by utilising the USB cable, totally portable. Please note - the USB cable didn’t work when plugged into my tv but that may be a setting issue, also the tv is about 6 years old. I would think most modern TVs output the nescessary power from a USB socket, which means one less plug hole needed!Very pleased - especially at a cost of £19.99 in BF sale...."
Pydar,4.0 out of 5 stars,Very good picture quality,Reviewed in the United Kingdom on 23 November 2020,"I found the Fire stick fairly easy to install, except for the Alexa voice control remote.  This still has not worked and I feel I don't have enough time to go into it all again.  The remote worked at first except for the voice control.  Having had to unplug it from the mains at one point, I then found I had to re-install it from the start with passwords etc.  At that point, I gave up on the remote through lack of time but will get back to it later having looked at all the instructions online.  Excellent picture though and I can use it with the TV's own remote for the time being."
◀Daddy Android▶      🇬🇧,5.0 out of 5 stars,,Reviewed in the United Kingdom on 25 November 2020,Reviewed in the United Kingdom on 25 November 2020
TOxfordshire,3.0 out of 5 stars,Clunky and glitchy,Reviewed in the United Kingdom on 24 October 2020,"Bought this to temporarily replace my Apple TV box. Whilst a big price difference differentiates the two products, I have been disappointed by the clunky controls when compared to Apple, the lack of apps (Apple has Now TV in addition to the ones I have on Amazon).There have been several glitches when the Fire Stick hasn’t responded and allowed me to go to the Home Screen, stating a network issue, this has resulted in a hard rest of the device (unplugging it), this despite the Echo Dot sat next to the TV still being connected to the internet along with my other devices too.I have also been disappointed by the adverts on the Home Screen, not helped with the clunky controls I have selected adverts when I have wanted apps and content.So for £29, this isn’t bad, just manage your expectations if you have used other superior products like Apple and Apple TV. Plus save £10 and dont buy the £39 version as most TV controls can work the device and the on off / volume buttons too (Sony Bravia here). And if they can’t, is it too much of a hassle to have two remotes?"
AL,3.0 out of 5 stars,Meh.,Reviewed in the United Kingdom on 20 December 2020,"Runs smoother and quicker than older models but not happy with the fact it does not go into standby very well. What I mean by that is, when I turn the TV off for the night and come back to it the next day, the fire stick often won't come back on. I get either a blue screen with ""no signal"", a plan black screen as if it is sleeping but won't come back on or once I got a screen full of ""static"". I have to unplug the power cable for a min and start again which can be a pain with it stuck behind the TV.Also, while the remote looks almost identical, the rear door for the battery is a different design which feels very flimsy, doesn't fit so well and has some sharp edges.If I had paid more for it, I might return it but after picking up at a reduced price it doesn't seem worth it."
Hilary Weinstein,5.0 out of 5 stars,Brilliant Addition to the Device Family,Reviewed in the United Kingdom on 30 October 2020,"When son took away the PS4 we were devastated as we would not be able to watch Prime or Netflix anymore.  He told us to buy a Fire Stick.  We did without knowing anything about it!  Best buy ever.  Not too pricey, easy to install and works like a dream.  Highly recommend for those of us with older TVs that don't have automatic access to Iplayer, Netflix and lots of other great choices."
Simon Duggan,1.0 out of 5 stars,DONT WASTE YOUR MONEY,Reviewed in the United Kingdom on 26 October 2020,I have now had four yes four different amazon fire sticks and they all after a while won't even start up let alone do anything else utter utter rubbish do not I repeat do not !!!!!!!! waste your money on buying the product
Gonk,3.0 out of 5 stars,"Handy HD streamer, but limited functionality.",Reviewed in the United Kingdom on 9 November 2020,"Handy HDMI streaming device for use with an HD TV, but could not get it working with my VGA monitor, also found it had poor echo cinema sound quality via WiFi.Using with an old PC monitor I found it wouldn’t remember the 720p VGA video resolution & defaulted back to 1080p when I switched off the monitor. The auto video resolution feature didn’t seem to work properly with VGA. I used to have no problem with my old 1st Gen Fire TV Stick. In the end I had to swap out my old Dell monitor for a Samsung 24” HD TV which works fine.Also the WiFi bandwidth on this model seems to be limited compared to the 4K version, the picture is fine with 1080p movies but the cinema sound via WiFi was very low bit rate and terrible quality (even right next to the WiFi router on 5GHz) So I would recommend either the 4K Fire TV Stick, or use the Amazon Fire TV Ethernet Adapter if you wish to setup cinema sound with an echo device."
davold,1.0 out of 5 stars,It does not work very well in fact its pure rubbish,Reviewed in the United Kingdom on 10 January 2021,"It was on special offer and our old one was starting to play up(probably programmed to do so), so I thought great. Wrong..... it turns off when it wants to, it loses signal with the wifi router at will. When you turn the TV  off it will not(the fire stick)turn on again unless you get up unplug it from the power wait 10 seconds then plug it back in again. I tried talking to someone about it but they say my STD code is not recognised so they won't call you. You try the online chat and they are rubbish....more terrible than BT so that is bad. So its going back. The worst thing is the customer service is sooooo bad I feel like leaving prime altogether...why bother selling an awful product...that is your flagship then giving no help whatsoever....astoundingly bad eggs."
Bonedrum,1.0 out of 5 stars,Frustrated,Reviewed in the United Kingdom on 19 November 2020,Less than two weeks after purchase the remote and fire stick stopped communicating. Without being able to manoeuvre the screen it is impossible to go to settings to reinstate the device. Ironically I bought this fire stick to replace an existing one that also did this but was out of warranty. Despite trying everything suggested on forums the fire stick will not re-pair. I would like to contact the seller rather than return or exchange the product but this seems ridiculously complicated on Amazon. Not impressed!
Raymond Webb,5.0 out of 5 stars,Fire stick,Reviewed in the United Kingdom on 11 December 2020,The fire stick is easy to install just plug in to the television via an HDMI lead and plug into the mains. The fire stick will update its software to ensure it is fully up to date. You then can add various apps to the stick by following the on screen instructions. You will need a tablet or computer to verify your accounts but other than that it is quite easy to set up. Most apps are available for free but some will need a pay to view.The picture is very good although on some apps it does have slight reduction to in quality. Overall I would recommend it as it gives you a great range variety of things to watch and the Alexa voice control is a useful tool to have although you will need to lean how to use it correctly.
JPK,4.0 out of 5 stars,Improvement on earlier models.,Reviewed in the United Kingdom on 30 September 2020,Iplayer and ITV hub now available.Bought this to use in my motorhome and have found that it's a big improvement on previous models. Works well with a very limited Wifi signal and so far has not had any of the pauses that I got with my older firetv 4k stick. Simple and intuitive interface.
Helen,1.0 out of 5 stars,Couldn't use straight out the box so ended up costing more,Reviewed in the United Kingdom on 1 March 2021,"I switched from Apple TV (1st gen) to Amazon Fire Stick as there were new apps, such as BritBox and Disney+, that we couldn't get on Apple TV unless we did AirPlay, which was a bit of a faff (and kept dropping whenever we paused). Only 4th gen Apple TV allows you to add apps, which was £150, so this seemed a cheaper alternative.However, it wasn't as cheap as I thought! For a start, we needed to buy a longer USB cable, as we use a projector (not a TV) which was too far away from the plug, so for the sake of an extra 10cm, we needed to pay £10 for another cable. Then, to my horror, I found the Amazon Fire Stick has no audio outlet! I guess this is fine if you are using with a TV, but with a projector, you'll need to buy an HDMI Audio splitter, which was another £20.Once we did get it working (now with loads of cables - ugh) the menu screen is horrible, and it takes several clicks to get to what would be a much more sensible homepage of the various apps. I really don't like this, and wish I'd stuck to the old Apple TV, which - though out of date - was a lot nicer to use, except for having to airplay Disney+. It just doesn't compare to Apple TV device, or even the Now TV stick (which I got FREE with my account, but am no longer subscribing). I suggest Amazon consider giving this stick free to Prime members. Otherwise, wish I hadn't bothered.There are much better streaming devices out there."
Honesty,5.0 out of 5 stars,Turn a TV into to a smart TV for a fraction of the price!! My #1 purchase!,Reviewed in the United Kingdom on 26 December 2020,"Amazing once set up. Can turn your basic TV into a full media desktop.. The best bit you can use your voice..To both search and stream things such as netflix, YouTube and much much more.Personally it has helped both my parents.My amazing mum because she works none stop! My step dad.. because he is blind and has mobility issues, diabetes etc so he needs alot of help!!! This is perfect because you can search via voice!Yes it'll take some getting used to, but any sort of independence is a positive and only that.Possibly the best rated item I've bought from here.. Once I got it working.You could be thinking, "" it'll be difficult"". but just like anything new it takes time.It's very simple, once you've had several lessons! Do not let it scare you away some change is good and this is growth at it's best.You won't regret this purchase!!I hope I've helped in some way.Merry Christmas everyone. Keep going.We will endure.All the family love these!!As they are voice controlled.. my step dad loves these being that he's blind and has mobility issues.It takes some getting used to but there's only one button to press for voice control and off you go! He's getting there and it helps with a bit of independence which is only positive for people with needs!Honestly couldn't rate this higher.. Still my best purchase.. I bought three so far..can't say I won't be back for more because I will."
Lindsay R. Bayne,3.0 out of 5 stars,Limited success on first try.,Reviewed in the United Kingdom on 20 December 2020,"OK, so we bought this to watch the autumn rugby internationals not otherwise available - but there were several pauses in the transmission, maybe due to buffering, not sure - the picture would freeze, a blue circle appeared - when motion returned, it was poor definition, blurred. Overall, coverage needs much to be desired compared to BT and SKY, and not easy to discover coverage. We probably need to explore more, but not that satisfied."
Keith_T,5.0 out of 5 stars,Works well even with seriuosly slow broadband,Reviewed in the United Kingdom on 24 October 2020,"We live in the country and have a an exchange only line which means - until someone pulls their finger out, broadband is horribly slow - maximum 2.6 mbps. Firestick installed simply using wifi and streams well albeit at standard definiton. - almost viewed 3 series of Man in the HIgh Castle now.... rewind and ff is a bit slow but overall everything is watchable at this speed and a wired connection which I have for my sky Q box is not needed.Definitely a real bonus especially if you already have Prime"
alex review,5.0 out of 5 stars,not anything like the hassle i experienced with an alternative product,Reviewed in the United Kingdom on 11 December 2020,"my initial review of this product is that's is super easy to set up,  everything is well packaged and the product itself is well thought out.  setup was simple to achieve.  the only thing that initially confused me was the hdmi needed the adapter dongle to be used to get the plug/socket to fit correctly.  i thought all hdmi plug/sockets are standard but obviously not - this is dealt with in the instructions anyway,  and caused nothing but a couple of seconds of puzzlement why the unit didnt fit into the hdmi socket of the tv.  5 seconds later all was well, just use the dongle adapter that's supplied.the stick was already aware of my i.d. and did a software update immediately.  how it got access to the internet i have not a clue.  part of the setup (later on) just involves adding the router password to the stick,  which is accomplished by using an onscreen keyboard and the remote control.the remote control's battery compartment is the best ive ever seen, the design is sturdy and works well.alexa works just fine using the microphone on the remote.  press and keep pressed the alexa button and speak your favourite tv program and up it comes !i cannot honestly give this amazon streaming device anything other than a 100% mark as a review.5 stars !"
Philip Knowles,1.0 out of 5 stars,Doesn't wake up from sleep.,Reviewed in the United Kingdom on 14 March 2021,"I like many others on the Amazon forums have noticed that the device will not power on from a sleep state without cycling the power switch at the wall. Quite rubbish really that I have to get up and physically switch the adapter off/on again to get it to work. Have tried all the remote buttons even the voice and nothing fixes this. Obviously an issue with the current firesticks, my old one never used to do this but alas that died after a couple of years use. Won't be replacing it nor contacting Amazon support. Naughty Jeff!"
kaleta,3.0 out of 5 stars,It's good,Reviewed in the United Kingdom on 3 January 2021,"Alex's works fine and the picture is fine, but the remote feels loose in my hand, it doesn't feel solid at all.The device itself is ok but I've had a constant problem of it not turning on and it doesn't seem to always respond to the remote, so I find myself having to take the wire out, wait abit, then put it back in for it to work, at first it wasn't so bad but now I have to do it every time I want to watch it...which is annoying. Would return it but I bought it through someone & can not be bothered with the hassle ... I only really got it to watch Disney plus & the discovery plus app thing but it doesn't seem to have the discovery one."
N. Falconer,5.0 out of 5 stars,Plenty of apps available to rejuvenate an old TV,Reviewed in the United Kingdom on 24 January 2021,"I bought this to augment an old Toshiba Smart TV which had long since stopped running iPlayer and never had a lot of streaming app support anyway. The rest of the TV is still perfectly fine so worthwhile adding better Smart support.So far I'm happy with the Fire TV app support, everything I've installed seems to work fine, from subscription services to free service and also DLNA support.I've tested Alexa a little for finding programmes and it works, but to be honest I'm not that bothered about voice recognition.The only niggle I'm having is sometimes after powering up the TV and stick there is no picture on the HDMI input despite the TV recognising a Fire TV stick is connected.  I have to cycle the usb power to reboot the stick. and then everything is fine.  I suspect this may be a problem with the TV and when it syncs with HDMI inputs."
Rebecca J.,5.0 out of 5 stars,Turn your TV into a smart TV for pounds,Reviewed in the United Kingdom on 2 March 2021,"Love it it’s turned my ordinary TV into a smart TV saving me £100’s!!! Bought because we wanted Disney+ and Discover+ both so easy to stream!!! I’m not technically minded but this was so easy to set up literally plugged in and downloaded the apps I wanted!!!! The voice recognition is brilliant too I’m able to press the button and ‘speak’ my choice!! Alexa works like a dream too only issue I have is sometimes this Alexa, my echo and kindle fire are all competing to answer!!! Would definitely recommend for anyone wanting the new channels but not needing or able to update to a state of the art TV just yet!! Also able to unplug and switch tv mid show with no issues which helps when ready for bed but the show hasn’t finished!!"
Ella Sarip,4.0 out of 5 stars,Better than the previous one,Reviewed in the United Kingdom on 16 October 2020,"I didn't realize I still had a 1st generation FireTv Stick wich was starting to playing up before dying. This new version is way better and faster. The remote works and is easier to use. Works good with Alexa apart from an application called ViKi. When I pause it works, but when I want to resume the video Alexa doesn't recognise the command for that application but I guess it doesn't have much to do with the functionality of this FireTv."
Simon Says,5.0 out of 5 stars,A whole new world,Reviewed in the United Kingdom on 11 December 2020,"I bought a FireStick simply for My5 that had stopped working on my smart TV. I had used Amazon Prime on my Ipad and streamed it to my TV but the FireStick now mitigates the need to do this.The unit was very easy to set up and link to my Prime account and this opened up a new world of programmes which has been it most beneficial attribute. I now find I use the FireStick for most of our programs, having found a wealth of drama's like The Night Watchman, Goliath and Damages which are all high-quality programs unavailable on terrestrial tv.Alexa is a useful addition, allowing you to ask to find particular program categories or simply the days weather.With a bit of fiddling, I have also managed to get Italian TV by using a VPN app. Its a bit pedantic in its use but at least I can catch the news and a few Rai programs without the need for a satellite dish.Costing less than £20 (a Black Friday deal) I can't complain as it is used daily and provides far more options for viewing given the lacklustre offerings from many terrestrial tv stations."
Carryonvending,5.0 out of 5 stars,Set up - Like Grease Lightning,Reviewed in the United Kingdom on 14 October 2020,"Item arrived - Well packaged. Plug into HDMI port and powered from USB on the TV.Within seconds - Updating softwareDo you want to use your existing account & Network ?Updates installed. What apps do  you want. Downloaded and installedDisney+ Login & PW  - and away we go.Outstandingly easy, and all for £29.99BARGAIN"
Yang,1.0 out of 5 stars,fault device,Reviewed in the United Kingdom on 14 December 2020,"I have purchased a couple of fire sticks previously and am generally happy with them (the remote control for one of them failed and I had to use mobile app to control the stick). Unfortunately the latest one I purchased apparently has some faults/defectives as it produces clicking noise and flashing screen every few minutes. To my disappointment, I have contacted the supplier and reported the defective, the automatic reply says a replacement will be sent to me with no additional charge. However after a week time, still nothing happens. I tried to get in touch with customer care via online chat, but was thrown to online help page with no single human reply. It's really a bad experience."
Charles Foran,1.0 out of 5 stars,Not as described due to Error PLR_PRS_CALL_FAILED,Reviewed in the United Kingdom on 10 October 2020,"How ridiculous that the product that is specifically made for its own company's video streaming service refuses to play those videos from the get go and no amount of tweaking, changing settings,  rebooting and running through online forums looking for the non-existent silver bullet will fix it. As a long time echo user i am sorely disappointed in Amazon for letting customers down with such a buggy product.  My intention was to buy two more for TVs in my house, but that certainly will not happen now. I am looking at my echos as well as I wanted an integrated system."
Reaper,4.0 out of 5 stars,4.0 out of 5 stars,Reviewed in the United Kingdom on 20 February 2021,Verified Purchase
BlueberryPi,4.0 out of 5 stars,So much better than previous models!,Reviewed in the United Kingdom on 9 January 2021,"Bought this on a black Friday deal, as we had the first generation Fire Stick and it was struggling to say the least. With Prime Video it was usually okay, but Netflix was awful with constant freezing and stuttering (even with fast broadband).With this model, video playback on anything is absolutely superb! No buffering or audio issues, it just plays. I most often use Prime Video, Netflix and stream NHK World Japan and honestly it's a joy after months of frustration with the last one.I've also downloaded Earth Cam, allowing me to view webcams all over the world. The image quality from these is just superb in 720P or 1080P (dependent on camera selected).The voice remote works well when it wants to, but other times it just won't search with voice. But when it does, even with strong accents it finds what you want right away.I couldn't find a straight answer before purchasing whether this would solve playback issues compared to the first gen. But it really does.Absolute best purchase I've made in a while now that we can enjoy movies and series when we want with no unexpected drama!For anyone who hasn't used one before, it couldn't be any easier to set up. Just plug in and follow the easy instructions. Then enjoy searching the many apps to find what you want."
The Old Clucker,5.0 out of 5 stars,Brilliant!,Reviewed in the United Kingdom on 18 March 2021,"I have the TV stick with Alexa and tv controls on my main smart tv and wanted to update the tv stick on my bedroom tv as it was getting on a bit and wasn't up to streaming high demand apps such as Disney+/STAR. It was taking ages to load some apps and had the spinning disc of doom quite often, or the picture freezing. I was so impressed with the latest stick with tv controls but couldn't justify the extra money for a tv I don't use that often so I decided to get the Amazon Fire TV stick Lite without tv controls. It's absolutely fab! The tv and firestick are plugged into an Amazon smart plug so I just tell Alexa to turn the plug on and then use the tv control to select which 'source' ie; the firestick  and then use the firestick control to choose what I want to stream, not needing to touch the amazon fire stick control again, and using the tv control for volume control. Unless i want to skip through something then obviously have to use the firestick control. But it's no problem at all having to use the tv remote infact to be honest, it's a lot simpler, well for me anyway.It's very fast, loads in seconds and no spinning circle of death while it loads apps. Over the moon with it. Infact to be honest, wish I'd bought the lite for the main tv now but never mind. They're both great products. I can highly recommend both."
Tom B,5.0 out of 5 stars,"Great piece of kit, recommended!",Reviewed in the United Kingdom on 2 December 2020,"The picture quality, ability to link to other Alexa devices and the sheer scale of available apps for the Fire TV stick make it a great buy. I realise most people will already have smart TVs etc by now but trust me, the Fire TV is the best bet for ensuring apps are always up to date and working optimally - especially as TV manufacturers discontinue support for their models on a regular basis.This iteration is particularly easy to use and the Alexa Voice Remote, even without any other Alexa device integration, does a fantastic job on it's own and makes finding whatever you are looking for (regardless of the application) really simple.Recommended for anyone looking to boost their viewing options!"
Sutton Coldfield caz,5.0 out of 5 stars,Very easy to implement even for those not very tech savvy,Reviewed in the United Kingdom on 25 November 2020,"Very easy to set up and run.  Bought mainly to watch films rather than continue to buy DVD's  so using Amazon Prime at the moment but may consider Netflix later. One thing which I came unstuck on were those apps you have to pay for.  Now my husband is a dinasor  and does not use a computer, mobile phone etc  Went for a bath and left him with the remote and the next day I find a debit from Amazon for a The Chase App -  a programme he hates and somehow he had bought it -  he doesn't know how but I can see it is easy to do. Wonderful Amazon deleted it and refunded and suggested I avoid it again by adding parental controls which allow purchases only on implementation of a code known only to me  -  parental controls for a 73 year old  !!!  That has been done now so should avoid that issue again.  One more thing -  did have to adjust the tv because the instructions across the top to enable me to select options was off the screen. Easy enough to do in the technical section.  Suggest it is worth while spending sometime playing about with all the screens so you get a feel for what you can do to make it an even better experience.  Certainly turning out to be value for money  - watching a film on Amazon prime virtually every night."
Mr. M. D. MCMAHON,5.0 out of 5 stars,Wow! What a clever device!,Reviewed in the United Kingdom on 12 April 2021,"We bought this to watch live sports streams from Amazon Prime. We wanted something less faffy than hooking up a laptop computer to the TV - which did work well but my wife found it too complicated and inconvenient mto control. The TV is a 9-year-old Panasonic and is unable to link itself to Amazon Prime, which some more-modern TVs can.I was not disappointed. The device was easy to set up, though I was initially puzzled by the hand control unit - not immediately obvious that navigation is performed by pressing the bezel surrounding the ""select"" button.My dear wife struggles with technology and I was wondering how she would cope. She not only took to it readily and worked it out for herself - she discovered that the TV control handset would also control the Fire Stick - the appropriate buttons function on it in the same manner as those on the proper handset! Effectively a one-control solution - though not in the way advertised. The Fire Stick seems to recognise the Panasonic handset signals; I don't know how. Has anyone else experienced this?Yes, I am very pleased with this. It works well from our Wi-Fi and gives a sharp, clear, steady picture.We have not bothered with the voice control so far. The hand controls work so well we don't need to."
Dan,4.0 out of 5 stars,Next time think I'd get the one with TV controls.,Reviewed in the United Kingdom on 3 February 2021,"Works really well, loads of channels to choose from and I'm not on prime or anything, so I just get the free stuff. In terms of setting up, it took almost no effort, which on one hand made was great, on the other, was a little worrying. I assume it connected with the echo dot I have and got all the WiFi details from that, because I didn't have to do anything to connect it and when I checked the details for the connection, it was connected to the correct network with the correct password.In terms of appearance, fits behind the TV neatly and takes power from one of the TVs USB ports, so it's basically invisible. I'm on basic broadband, so speeds of upto 8MB/s and picture quality etc seems great, but I also live alone, so perhaps if you had more people taking up the bandwidth it might have issues.I've not used it a lot, when I bought my house it had a TV wall mount in a room I don't really watch TV in, so bought a cheap TV to cover it only to realise that there were no satellite or aerial sockets in the room. Tried a couple of different indoor aerials, but could only ever get a couple of channels, this essentially makes the TV viable again, though it doesn't get a lot of use.Voice controls seem fine, but the TV doesn't automatically go into standby when you put the firestick into sleep mode, so the control with a TV standby button would probably have been better.Have lowered my rating by one star as have just found out there is no voice command to put the firestick itself into sleep mode, you have to do it manually."
Tom.T,4.0 out of 5 stars,"Full on Fire , Excellent Value. !!!",Reviewed in the United Kingdom on 13 November 2020,"Great value alltho I'd say the 4k stick is also good value and worth the extra especially if you buy when on sale. I feel the firestick lite was released in a hurry as some of the mainstream apps weren't working at release like BBC and a few others alltho I believe these are all minor issues and all resolved my only complaint is some sideloaded apps load without their icons showing which seems abit of a petty slightly spiteful thing to change but maybe that will be resolved also. But I paid £20 each for these lite versions on sale and you get alot for your money even at full price they're brilliant fully fledged firesticks with newer operating system and work very well, the volume control and power buttons are omitted but it's so cheap it matters not , and for not much more you can buy the version with those extra controls the choice is yours. I personally rate the firestick lite very highly and is a great idea to have a cheaper version that still as good for those who are struggling financially or just want a spare for bedrooms or travelling. A1 Amazon."
